Company code,Company Name,Sector,Industry,Year,EPS,BVPS,ROA,ROE,DIV,P/E Ratio,DAR,MB,DY,Market Cap,Total Assets,Year End Price
600764.SS,China Marine Information Electronics Company Limited,Technology,Scientific & Technical Instruments,2020,1.0724,9.609777346,0.078124038,1.401986872,0.273,32.29478098,0.063558027,3.603925656,0.007882673,24611159251,9574149268,34.63292313
600765.SS,"AVIC Heavy Machinery Co., Ltd.",Industrials,Specialty Industrial Machinery,2020,0.264286,4.530494793,0.021884509,2.190671086,0.032143,65.68724052,0.207022135,3.831859177,0.001851532,25718121425,15710100815,17.36021805
600773.SS,"Tibet Urban Development and Investment Co.,LTD",Real Estate,Real Estate - Development,2020,0.14,3.774446951,0.007661093,4.053506226,0.015,49.67978682,0.418617478,1.842699141,0.002156669,6618449558,14518379179,6.955170155
600774.SS,"Hanshang Group Co., Ltd.",Consumer Cyclical,Department Stores,2020,0.2004,2.245390997,0.013454973,4.0498793,0,67.41732656,0.405687401,6.016961972,0,3986009846,3380621305,13.51043224
600775.SS,Nanjing Panda Electronics Company Limited,Technology,Electronic Components,2020,0.0846,5.223618818,0.012882181,1.602065888,0.0175,87.94433963,0.002717764,1.424317392,0.002352122,4998543208,6001947699,7.440091133
600776.SS,"Eastern Communications Co.,Ltd.",Technology,Communication Equipment,2020,0.082,3.332609115,0.02564963,1.249783141,0.04,142.0360426,nan,3.494845956,0.003434374,11134489449,4036821064,11.64695549
600779.SS,"Sichuan Swellfun Co.,Ltd",Consumer Defensive,Beverages - Brewers,2020,1.4972,4.381483468,0.16747544,2.044378511,1.45,52.61894346,nan,17.98045861,0.018405434,38406014523,4366764634,78.78108215
600780.SS,Top Energy Company Ltd.Shanxi,Utilities,Utilities - Regulated Electric,2020,0.2616,4.926337945,0.036083603,1.479250373,0.08,13.17924863,0.058565418,0.699848747,0.023203933,3952778126,8311475681,3.447691441
600782.SS,"Xinyu Iron & Steel Co., Ltd",Basic Materials,Steel,2020,0.85,7.470114523,0.051707027,2.162717956,0.2,4.351548027,0.078927574,0.495148476,0.054071359,11635179696,52220860446,3.698815823
600783.SS,"Luxin Venture Capital Group Co., Ltd.",Industrials,Specialty Industrial Machinery,2020,0.45,5.069465854,0.052160951,1.668273068,0.15,31.02421867,0.306136164,2.753919013,0.010744294,10391920037,6421851673,13.9608984
600784.SS,"Luyin Investment Group Co.,Ltd.",Basic Materials,Steel,2020,0.31,2.492467658,0.036902085,2.692189506,0.008,17.66152228,0.397953945,2.196647122,0.001461168,3699243109,4702442825,5.475071907
600785.SS,"Yinchuan Xinhua Commercial (Group) Co., Ltd.",Consumer Cyclical,Department Stores,2020,0.19,8.423129791,0.004986986,4.954947185,0.2,65.23838545,0.493610804,1.471578088,0.016135157,2796762507,8679836145,12.39529324
600787.SS,"CMST Development Co.,Ltd.",Industrials,Integrated Freight & Logistics,2020,0.27,5.435847132,0.027073247,1.740191678,0,15.65058849,0.146040656,0.777368971,0,9190596337,21366404874,4.225658894
600789.SS,"Shandong Lukang Pharmaceutical Co.,Ltd.",Healthcare,Drug Manufacturers - Specialty & Generic,2020,0.26,3.576369345,0.031332601,2.165001481,0.045,34.68126517,0.304912975,2.521308085,0.004990502,8103423413,7272824836,9.017128944
600790.SS,"Zhejiang China Light&Textile Industrial City Group Co.,Ltd",Real Estate,Real Estate Services,2020,0.27,3.90315347,0.041817345,1.63418408,0.18,10.8197795,nan,0.748456469,0.06161555,4282071501,9501733999,2.921340466
600791.SS,"BEH-Property Co.,Ltd.",Real Estate,Real Estate - Development,2020,-0.155,5.452738032,-0.003687628,4.608987543,0.012,-32.29170768,0.448948345,0.917926858,0.0023975,2266761629,19030064387,5.005214691
600792.SS,"Yunnan Coal & Energy Co.,Ltd.",Basic Materials,Coking Coal,2020,0.06,3.078254474,0.011161068,1.514314341,0,67.75049369,0.139347064,1.320563214,0,4511857677,5289187790,4.065029621
600794.SS,"Zhang Jia Gang Freetrade Science&Technology Group Co.,Ltd.",Industrials,Marine Shipping,2020,0.18,1.786583519,0.060924658,1.405706249,0,17.28133625,0.197330659,1.741111173,0,3770562963,3491089863,3.110640526
600795.SS,"GD Power Development Co.,Ltd",Utilities,Utilities - Renewable,2020,0.218,3.898550444,0.010868481,2.876232199,0.05,9.459771148,0.493075795,0.528973561,0.024245597,36781111089,4.0059E+11,2.06223011
600796.SS,"Zhejiang Qianjiang Biochemical Co., Ltd",Basic Materials,Agricultural Inputs,2020,0.15,2.14839873,0.017456258,2.221174092,0,31.36971156,0.268057822,2.190215749,0,4077682854,5507240699,4.705456734
600797.SS,"Insigma Technology Co., Ltd.",Technology,Information Technology Services,2020,0.06,3.938107664,0.009059122,1.542965214,0.03,113.9467398,0.1272224,1.736063352,0.004388015,7025021505,6721792627,6.83680439
600798.SS,Ningbo Marine Company Limited,Industrials,Marine Shipping,2020,0.1378,3.008443218,0.023069432,1.477272258,0.06,35.54561834,0.277610499,1.62814647,0.012249432,5909808839,7205548393,4.898186207
600801.SS,"Huaxin Cement Co., Ltd.",Basic Materials,Building Materials,2020,2.69,17.53457181,0.127713682,1.712811831,1.21,6.353432184,0.183876567,0.974687763,0.070798604,22974731079,44087671177,17.09073257
600803.SS,"ENN Natural Gas Co.,Ltd.",Industrials,Conglomerates,2020,0.82,2.625784163,0.019158245,3.117977251,0.21,15.15980116,0.296812769,4.734218876,0.016893201,38500040822,1.09977E+11,12.43103695
600808.SS,Maanshan Iron & Steel Company Limited,Basic Materials,Steel,2020,0.2575,4.719999746,0.024564624,2.47495267,0.08,9.015868474,0.238961518,0.491861495,0.0344592,13962041880,80711141782,2.321586132
600809.SS,"Shanxi Xinghuacun Fen Wine Factory Co.,Ltd.",Consumer Defensive,Beverages - Wineries & Distilleries,2020,2.536,8.014163805,0.155543614,1.966887031,0.642857,101.1034367,0.000912208,31.99314634,0.002507259,3.12796E+11,19796593530,256.3983154
600810.SS,Shenma Industry Co.Ltd,Basic Materials,Specialty Chemicals,2020,0.58,4.840003461,0.01840112,3.626398215,0.22,13.69818901,0.514745914,1.641517344,0.027690547,8064838790,20140499355,7.944949627
600812.SS,North China Pharmaceutical Company.Ltd,Healthcare,Drug Manufacturers - Specialty & Generic,2020,0.06,3.569516815,0.004063858,3.394286997,0.03,169.0625509,0.554072743,2.841772032,0.002957485,17403941910,23948614419,10.14375305
600814.SS,"Hangzhou Jiebai Group Co., Limited",Consumer Cyclical,Department Stores,2020,0.37,3.762495072,0.042281759,1.672304661,0.1,13.87505402,nan,1.364458927,0.019478863,3773865039,6311726148,5.133769989
