,no,s,n,marketCap,price,change,revenue,url
198,199,hnx/ADC,Art Design and Communication JSC,89105766400.0,21200.0,0.47393364928909953,411845847050.0,quote/hnx/ADC
199,200,hnx/ARM,General Aviation Import Export JSC,87738180600.0,28200.0,0.7142857142857143,329859793051.0,quote/hnx/ARM
200,201,hnx/DAD,Da Nang Education Development and Investment JSC,87592960000.0,18000.0,-4.25531914893617,157758089664.0,quote/hnx/DAD
201,202,hnx/SDN,Dong Nai Paint Corporation,86842069600.0,28600.0,-2.054794520547945,119647971540.0,quote/hnx/SDN
202,203,hnx/PPY,Petrovietnam Oil Phu Yen JSC,84095766000.0,9000.0,-2.1739130434782608,4459752853829.0,quote/hnx/PPY
203,204,hnx/V21,Vinaconex 21 JSC,81598565200.0,6800.0,0.0,119230524183.0,quote/hnx/V21
204,205,hnx/NHC,Nhi Hiep Brick-Tile JSC,79688400400.0,21900.0,-8.368200836820083,49629856371.0,quote/hnx/NHC
205,206,hnx/PGT,PGT Holdings JSC,78555308500.0,8300.0,2.4691358024691357,36222104894.0,quote/hnx/PGT
206,207,hnx/PSC,Petrolimex Saigon Transportation and Service JSC,78480000000.0,10900.0,0.0,718691821370.0,quote/hnx/PSC
207,208,hnx/CPC,Can Tho Pesticides JSC,78363840000.0,19600.0,-8.837209302325581,190029517976.0,quote/hnx/CPC
208,209,hnx/KST,Kasati JSC,77896260000.0,13600.0,-4.225352112676056,450910060199.0,quote/hnx/KST
209,210,hnx/VC9,VC9 - No 9 Construction Join Stock Company,75128400000.0,4400.0,-2.2222222222222223,233707109417.0,quote/hnx/VC9
210,211,hnx/D11,Real Estate 11 JSC,74849007600.0,10200.0,-0.9708737864077668,106293882447.0,quote/hnx/D11
211,212,hnx/HMR,Hoang Mai Stone JSC,74084260800.0,13200.0,-6.382978723404255,,quote/hnx/HMR
